id_comercio|id_bandera|comercio_cuit|comercio_razon_social|comercio_bandera_nombre|comercio_bandera_url|comercio_ultima_actualizacion|comercio_version_sepa|comercio_version_sepa                                             
&#032;||||||||
Última actualización: 2025-02-24T00:31:27-03:00||||||||
1000|1.0|30537869158.0|FRIGORIFICO GORINA S.A.I.C.|FRIGORIFICO GORINA S.A.I.C.|http://www.friggorina.com|2021-03-19T15:00:00-03:00|1.0|
Última actualización: 2025-02-23T16:05:01-03:00||||||||
2007|1.0|30679928879.0|Sony Argentina S.A.|Sony|https://store.sony.com.ar|2025-02-23T16:30:00-03:00|1.0|
Ultima Actualizacion: 2025-02-23T16:30:00-03:00||||||||
3001|1.0|30590360763.0|CENCOSUD S.A.|EASY|www.easy.com.ar|2025-02-23T15:21:50-03:00|1.0|
3001|2.0|30590360763.0|CENCOSUD S.A.|BLAISTEN|www.blaisten.com.ar|2025-02-23T15:21:50-03:00|1.0|
Ultima Actualizacion: 2025-02-23T17:00:06-03:00||||||||
3|1.0|30516186670.0|DEHEZA S.A.I.C.F. e I.|DEHEZA S.A.I.C.F. e I.||2025-02-23T16:00:01-03:00|1.0|
Ultima actualizacion: 2025-02-23T16:00:00-03:00||||||||
20|1.0|33504047089.0|LA AGRICOLA REGIONAL COOPERATIVA LIMITADA|LA AGRICOLA REGIONAL COOPERATIVA LIMITADA|http://www.lar.coop|2025-02-23T19:45:12-03:00|1.0|
Última actualización: 2025-02-23T19:45:12-03:00||||||||
2007|1.0|30679928879.0|Sony Argentina S.A.|Sony|https://store.sony.com.ar|2025-02-23T16:30:00-03:00|1.0|
Ultima Actualizacion: 2025-02-23T16:30:00-03:00||||||||
2011|1.0|30543659734.0|Electronica Megatone S.R.L|Musimundo|https://www.musimundo.com|2025-02-24T04:00:19-03:00|1.0|
Última actualización: 2025-02-24T04:00:19-03:00||||||||
1001|1.0|33500529909.0|Rafaela Alimentos|Lario|www.rafaelaalimentos.com|2025-02-22T00:00:00|1.0|
Última actualización: 2025-02-23T18:09:00-03:00||||||||
10|2.0|30687310434.0|INC S.A.|Market|www.carrefour.com.ar|2025-02-24T04:30:04-03:00|1.0|
10|3.0|30687310434.0|INC S.A.|Express|www.carrefour.com.ar|2025-02-24T04:30:04-03:00|1.0|
10|1.0|30687310434.0|INC S.A.|Hipermercado Carrefour|www.carrefour.com.ar|2025-02-24T04:30:04-03:00|1.0|
Ultima actualización: 2025-02-24T04:30:04-03:00||||||||
2013|1.0|30716620634.0|First Label S.R.L.|Mercado Libre|https://www.mercadolibre.com.ar/|2025-02-24T12:48:29.744836|<VERSION>|
Última actualización: 2025-02-24T09:49:27-03:00||||||||
2013|1.0|30716620634.0|First Label S.R.L.|Mercado Libre|https://www.mercadolibre.com.ar/|2025-02-24T06:48:34.085258|<VERSION>|
Última actualización: 2025-02-24T03:49:22-03:00||||||||
13|1.0|30525705931.0|Cooperativa Obrera Limitada de Consumo y Vivienda|Cooperativa Obrera Limitada de Consumo y Vivienda|http://www.cooperativaobrera.coop|2025-02-24T04:00:03-03:00|1.0|
Última actualización: 2025-02-24T04:00:03-03:00||||||||
